product_family,product_type,package_depth_1,package_depth_2
Product Family,FX,2.75,
8225TL,PI,4.75,
8225TL,PO,4.75,6.75
8225TL,CO,4.75,6.75
8225TL,CI,4.75,
8410TL,FI,4.5,
8430TL,SH,5.5,
8450TL,DH,5.5,
8470TL,HS,5.5,7.5
8470TL,FI,3.75,
8470TL,PO,5.75,7.75
AA4325,PI,6.25,
AA4325,CO,5.75,7.75
AA4325,FO,3.75,
AA4325,CI,6.25,
AA4325,SH,5.625,5.875
AA5450,FI,5.125,
AA5450,DH,5.625,5.875
AA5450,HS,5.625,7.625
NX-310,CO,6.0,
NX3100,CO,5.75,7.75
NX3200,CI,6.25,
NX3400,PI,6.25,
NX3500,PO,,
NX-380,FI,3.75,
NX3800,FI,3.75,
NX840,PD,2.75,
NX8900,TD,3.75,5.125
OPTIQO,PO,7.5,
